"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "PostCSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\package-lock.json", "JSON", 0, -2062, 0, 0, 0, 0, 0, 0, -1, -2063
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\package.json", "JSON", 0, -29, 0, 0, 0, 0, 0, 0, -1, -30
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\scripts\dbInit.js", "JavaScript", -14, 0, 0, 0, 0, 0, 0, 0, -4, -18
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\scripts\tablesInit.js", "JavaScript", -94, 0, 0, 0, 0, 0, 0, 0, -9, -103
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\addAdmin.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\addHospital.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, 0, -1, -13
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\app.js", "JavaScript", -79, 0, 0, 0, 0, 0, 0, -9, -24, -112
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\config\db.js", "JavaScript", -15, 0, 0, 0, 0, 0, 0, -1, -6, -22
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\adminController.js", "JavaScript", -92, 0, 0, 0, 0, 0, 0, 0, -9, -101
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\alertController.js", "JavaScript", -23, 0, 0, 0, 0, 0, 0, 0, -5, -28
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\authController.js", "JavaScript", -75, 0, 0, 0, 0, 0, 0, -6, -20, -101
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\hospitalController.js", "JavaScript", -229, 0, 0, 0, 0, 0, 0, -24, -54, -307
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\otpController.js", "JavaScript", -124, 0, 0, 0, 0, 0, 0, -1, -26, -151
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\middleware\authMiddleware.js", "JavaScript", -26, 0, 0, 0, 0, 0, 0, 0, -10, -36
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\queue\vitalsQueue.js", "JavaScript", -11, 0, 0, 0, 0, 0, 0, 0, -2, -13
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\routes\adminRoutes.js", "JavaScript", -15, 0, 0, 0, 0, 0, 0, 0, -1, -16
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\routes\alertRoutes.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, -1, -3, -10
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\routes\authRoutes.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, -3, -9
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\routes\hospitalRoutes.js", "JavaScript", -8, 0, 0, 0, 0, 0, 0, -1, -2, -11
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\routes\otpRoutes.js", "JavaScript", -7, 0, 0, 0, 0, 0, 0, 0, 0, -7
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\services\alertDbService.js", "JavaScript", -15, 0, 0, 0, 0, 0, 0, 0, -2, -17
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\services\hospitalAlertService.js", "JavaScript", -40, 0, 0, 0, 0, 0, 0, -3, -9, -52
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\services\hospitalService.js", "JavaScript", -46, 0, 0, 0, 0, 0, 0, -1, -9, -56
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\services\notificationService.js", "JavaScript", -97, 0, 0, 0, 0, 0, 0, -11, -17, -125
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\services\userService.js", "JavaScript", -19, 0, 0, 0, 0, 0, 0, -2, -6, -27
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\sockets\socketHandler.js", "JavaScript", -35, 0, 0, 0, 0, 0, 0, -7, -12, -54
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\testSocket.js", "JavaScript", -22, 0, 0, 0, 0, 0, 0, 0, -8, -30
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\workers\vitalsWorker.js", "JavaScript", -138, 0, 0, 0, 0, 0, 0, -4, -32, -174
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\README.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
