"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "PostCSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 289, 1, 12, 302
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\ForgotPassword.css", "PostCSS", 0, 0, 0, 0, 82, 0, 0, 5, 13, 100
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 148, 7, 11, 166
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\HospitalAuth.css", "PostCSS", 0, 0, 0, 0, 254, 0, 0, 2, 39, 295
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\HospitalAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 164, 6, 25, 195
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\HospitalDashboard.css", "PostCSS", 0, 0, 0, 0, 262, 0, 0, 7, 41, 310
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\HospitalDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 108, 8, 19, 135
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\RoleSelection.css", "PostCSS", 0, 0, 0, 0, 260, 0, 0, 7, 46, 313
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\RoleSelection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 3, 6, 61
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\SimulationPage.css", "PostCSS", 0, 0, 0, 0, 80, 0, 0, 1, 12, 93
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\src\pages\SimulationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 202, 7, 26, 235
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\vercel.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 33, 3658, 13, 12, 2081, 27, 1964, 137, 590, 8515
